word,frequency,type,gender,dictionaryForm,languageLevel,english
de,78160,other,other,de,A1,of
que,77951,pronoun,other,que,A1,that
no,66916,adverb,other,no,A1,no
a,51620,pronoun,other,a,A1,to
la,49327,pronoun,feminine,la,A1,the
el,40709,pronoun,other,el,A1,the
y,38534,other,other,y,A1,and
es,37803,verb,other,ser,A1,to be
en,36850,other,other,en,A1,in
lo,32658,pronoun,other,lo,A1,it
un,30300,pronoun,masculine,un,A1,a
por,24079,other,other,por,A1,for
qué,22523,other,other,qué,A1,what
me,21231,pronoun,other,me,A1,me
una,20791,pronoun,feminine,una,A1,"a, an"
los,16590,pronoun,masculine,el,A1,the
se,16530,pronoun,other,se,A1,oneself
te,16402,pronoun,other,te,A1,you (informal)
con,16368,other,other,con,A1,with
para,15309,other,other,para,A1,for
está,13153,verb,other,estar,A1,is
mi,12990,pronoun,other,mi,A1,my
pero,12808,conjunction,other,pero,A1,but
sí,12705,adverb,other,sí,A1,yes
si,12695,other,other,sí,A1,yes
bien,11056,adverb,other,bien,A1,well
eso,10971,pronoun,other,eso,A1,that
su,10841,pronoun,other,su,A1,his/her/its/their
las,10817,pronoun,feminine,la,A1,the
yo,10356,pronoun,other,yo,A1,I
del,8907,other,other,de el,A1,of the
como,8814,adverb,other,cómo,A1,how
aquí,8784,adverb,other,aquí,A1,here
tu,8750,pronoun,other,tú,A1,you
al,8376,preposition,other,a,A1,to
más,8127,adverb,other,más,A1,more
le,7741,pronoun,other,le,A1,to him/her
esto,7015,pronoun,other,esto,A1,this
todo,7010,adjective,other,todo,A1,all
ya,6028,adverb,other,ya,A1,already
estoy,5906,verb,other,estar,A1,I am
ahora,5882,adverb,other,ahora,A1,now
muy,5872,adverb,other,muy,A1,very
ha,5794,verb,other,haber,A1,to have
esta,5686,pronoun,feminine,esta,A1,this
así,5677,adverb,other,así,A1,thus
vamos,5672,verb,other,ir,A1,let's go
algo,5617,pronoun,other,algo,A1,something
hay,5483,verb,other,haber,A1,there is/are
bueno,5474,adjective,masculine,bueno,A1,good
tengo,5159,verb,other,tener,A1,I have
él,5035,pronoun,other,él,A1,he
cuando,5034,adverb,other,cuando,A2,when
estás,4959,verb,other,estar,A1,you are
sé,4928,verb,other,saber,A2,to know
tú,4898,pronoun,other,tú,A1,you
nos,4686,pronoun,other,nos,A1,us
nada,4669,pronoun,other,nada,A1,nothing
cómo,4661,other,other,cómo,A1,how
este,4643,pronoun,masculine,este,A1,this
o,4562,other,other,o,A1,or
he,4434,pronoun,masculine,él,A1,he
ser,4431,verb,other,ser,A1,to be
tiene,4363,verb,other,tener,A1,to have
puedo,4357,verb,other,poder,A2,I can
ella,4328,pronoun,feminine,ella,A1,she
quiero,4318,verb,other,querer,A1,I want
hacer,4294,verb,other,hacer,A1,to do
fue,4224,verb,other,ser,A1,was
gracias,4214,other,other,gracias,A1,thank you
vez,4147,noun,feminine,vez,A1,time
era,4139,verb,other,ser,A2,was
soy,4028,verb,other,ser,A1,I am
sólo,4009,adverb,other,solo,B1,only
todos,3712,pronoun,other,todo,A1,everyone
porque,3703,other,other,porque,A1,because
son,3629,verb,other,ser,A1,are
tienes,3626,verb,other,tener,A1,you have
creo,3521,verb,other,creer,A1,I believe
voy,3456,verb,other,ir,A1,I go
sabes,3442,verb,other,saber,A2,to know
estaba,3441,verb,other,estar,A2,was
puede,3413,verb,other,poder,A2,can
eres,3406,verb,other,ser,A1,you are
ese,3374,pronoun,other,ese,A1,that
usted,3345,pronoun,other,usted,A1,you (formal)
entonces,3297,adverb,other,entonces,A1,then
hola,3251,other,other,hola,A1,hello
solo,3191,adjective,masculine,solo,A1,alone
verdad,3187,noun,feminine,verdad,A1,truth
casa,3177,noun,feminine,casa,A1,house
tan,3102,adverb,other,tan,A1,so
quién,3062,pronoun,other,quién,A1,who
sus,3038,pronoun,other,su,A1,his/her/their
tiempo,3011,noun,masculine,tiempo,A1,time
dos,3008,other,other,dos,A1,two
esa,2992,pronoun,feminine,esa,A1,that
nunca,2973,adverb,other,nunca,A2,never
dónde,2917,adverb,other,dónde,A1,where
va,2894,verb,other,ir,A1,to go
oh,2880,other,other,oh,A1,oh
favor,2852,noun,masculine,favor,A1,favor
mucho,2791,adverb,other,mucho,A1,much
mí,2787,pronoun,other,mí,A1,me
quieres,2786,verb,other,querer,A1,you want
siento,2772,verb,other,sentir,B1,I feel
señor,2744,proper-noun,masculine,Señor,A1,Mister
mejor,2705,adjective,other,mejor,A2,better
hace,2678,verb,other,hacer,A1,to do
has,2662,verb,other,haber,A1,to have
decir,2660,verb,other,decir,A1,to say
también,2638,adverb,other,también,A1,also
sobre,2584,other,other,sobre,B1,"on, about, over"
dios,2578,noun,masculine,dios,A1,god
sin,2566,preposition,other,sin,A1,without
tenemos,2562,verb,other,tener,A2,we have
están,2551,verb,other,estar,A1,to be
ti,2542,pronoun,other,tú,A1,you
puedes,2504,verb,other,poder,A2,you can
ver,2501,verb,other,ver,A1,to see
hombre,2487,noun,masculine,hombre,A1,man
vida,2452,noun,feminine,vida,A1,life
alguien,2417,pronoun,other,alguien,A2,someone
cosas,2296,noun,feminine,cosa,A1,things
siempre,2294,adverb,other,siempre,A1,always
hasta,2288,other,other,hasta,A1,until
ahí,2286,adverb,other,ahí,A1,there
ir,2223,verb,other,ir,A1,to go
años,2208,noun,masculine,año,A1,year
antes,2192,adverb,other,antes,A1,before
estar,2175,verb,other,estar,A1,to be
ni,2173,other,other,ni,A1,nor
poco,2150,adjective,masculine,poco,A1,little
día,2136,noun,masculine,día,A1,day
uno,2125,pronoun,other,uno,A1,one
noche,2114,noun,feminine,noche,A1,night
hecho,2114,noun,masculine,hecho,B1,fact
mis,2085,pronoun,other,mi,A1,my
estamos,2035,verb,other,estar,A1,we are
otra,1995,adjective,feminine,otro,A1,other
acuerdo,1986,noun,masculine,acuerdo,B1,agreement
trabajo,1966,noun,masculine,trabajo,A2,work
nosotros,1934,pronoun,other,nosotros,A1,we
